Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Inocybe_hystrix	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_leptocystis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_griseolilacina	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_godeyi	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_leiocephala	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_albodisca	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_tahquamenonensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_subochracea	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_stellatospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_chelanensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sierraensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_leptophylla	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_teraturgus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lanuginosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cerasphora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_napipes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_assimilata_G0576_NL0936	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_fuligineoatra	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_fibrosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_glabrodisca	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_candidipes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_chalcodoxantha	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_striata_proximella_s._Funga_G022	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_soluta_G0739_DB4572	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_subcarpta_G0982_NL5410	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Astrosporina_avellana	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_asterospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_amazoniensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_epidendron	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_pulchella	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lasseri	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_subexilis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_conspicuospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_hydrocybiformis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_ayangannae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lilacinosquamosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_grammata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._G2046_Buyck_12.124_35	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_suaveolens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_umbratica	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_alabamensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_grammata_cf._G0046_NL5057	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_torresia	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_decemgibbosa_cf._G0334_NL0560	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_putilla_cf._G0385_DB3509	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_tauensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sphaerospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_glaucodisca	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_densifolia_nom._prov._EU555474	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_xerophytica	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lacera_var._heterospora_G0743_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lacera	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_curvipes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_maritima_G0257_NL3231	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_niveivelata_aff_NA1_JQ313566	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JQ319696	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JN975007	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JN975008	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cf._renispora_EU555466	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._renispora_AY732213	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_umbrinella_JN975010	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JQ319707	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sororia_JQ319705	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_althoffiae_EU555444	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._sororia_JN975004	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aff._perlata_JN975013	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_perlata_JQ319698	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_aurora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_obsoleta_JQ319697	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_gracillissima_nom_prov_AU7_JQ31	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JQ319708	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_lepidotella_JN642235	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JN975012	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_rimosa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_spuria	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_cercocarpi_EU600890	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_occidentalis_AY038321	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_squamata_G0228_NL0806	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JQ319677	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_arenicola_G0335_NL0392	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_sp._JN975016	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
