Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
C._huronensis_112406_TN_04274	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cinnamomeus_KC842483	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Cort._croceus_Pinus_G0904_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_humboldtensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
C._chrysolitus_119707_TN_06116	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ophryx_G1129_KSCO1411	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_tigrellus_cf._G1169_KSCO211	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ATropurpureus_JX544919	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._sp._Fulvescentes_big_G	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dermocybe_splendida_G1768_PERTH_8073066	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dermocybe_kula	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_basirubescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Cort._leproleptopus_G0897_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Cort._melanotus_Lepr._G0294	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
C._squamivenetus_207411_TN07119	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
C._phrygianus_95806_CFP_774	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_veronicae_G1108_KSCO821	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_globuliformis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_clelandii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Dermocybe_canaria	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cruentoides_ad_int._G1171_KS	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Telamonia_sp._G1213_KSCO209	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Telamonia_sp._G1212_KSCO204	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Telamonia_sp._G1193_KSCO131	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_porphyrophaeus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._illuminus_G0685_DB4367	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._acutus_G0389_DB4382	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_obtusus_KC842491	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_fibrillosus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_paraonui_JX000392	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_venetus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aff._olivaceofuscus_G0728_DB4815	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._fragrantior_G0738_DB46	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_semisanguineus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_austrocinnabarinus_JX544916	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_papaver	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._barbatus_G0636_DB2890	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ionomATAius_JX000393	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Telamonia_sp._G1176_KSCO142	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ursus_JX000381	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aureifolius	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_croceus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_orellanus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_subgemmeus_G1119_KSCO1455	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Cort._rubicundulus_G0730_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._camphoratus_aff._G0004	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_anomalus_G0477_DB4375	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_barlowensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_CAninus_KC842494	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._azureus_cf._G0058_NL51	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_suecicolor_JX000391	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_rATTinoides_JX000406	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cinereobrunneus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_infractus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._bulbolatens_G0905_DB49	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._caesiocortinatus_G0871	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_viscilaetus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_argenteolilacinus_G0689_NL5262	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._sp._Glaucopodes_G0519_N	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_singularis_G1130_KSCO1409	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_mariae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_sebACeus_KC842525	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._turmalis_G0723_NL3684	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_picoides	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Gigasperma_cryptica_G1086_OSC80966_Trapp	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_Phlegmacium_sp._G1173_KSCO1	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aerugineoconicus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Hymenogaster_remyi	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_fiordlandensis_G1106_KSCO17	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_peristeris_G1098_KSCO1647	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_creTAx_JX000388	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_limonius_KC842526	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_caryotis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_elaiochrous	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_achrous	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_armiae_G1121_KSCO2021	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_persicanus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_vibratilis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._vibratilis_cf._G0039_NL	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_periclymenus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_olorinatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._microspermus_G0732_DB4	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_austrocyanites	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Thaxterogaster_sp._G1172_KSC	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_Myx._lustratus_cf._G1153_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_rhipiduranus_G1097_KSCO1645	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_kaimanawa_KF727324	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._subpurpurascens_G0849_D	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_porphyropus_KC842523	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_alboaggregatus_G1118_KSCO16	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_thaumastus_G1125_KSCO1474	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_incensus_JX000387	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_irinGA_JX000385	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_sp_G2066_KSBR189	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cremeolina_cf._G1188_KSCO18	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_dulciorum_G0612_SK3410_2	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_myxenosma_G1104_KSCO1672	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_tessiae_G1096_KSCO1051	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_viscincisus_KP343700	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myxotelamonia_sp._G1174_KSCO	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_turcopes_G1120_KSCO1814	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_subtortus_KC842509	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_eutactus_G1115_KSCO1483	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_peraureus_cf._G1235_KSCO204	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_perelegans	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_collinitus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_sp.	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_porphyroideus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Cort._caperatus_G0089_NL506	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_meleagris	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_hallowellensis_KJ919978	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._trivialis_G0734_DB4849	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_stillATitius_KC842502	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_pinguis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._pseudosalor_G0071_NL51	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Thaxterogaster_luteum_G1733_PERTH_80962	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_vitreopileatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_anauensis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_vitreopileatus_cf._G1189_KSC	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_pavelekii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_bellus_KF727319	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_gymnocephalus_G1117_KSCO142	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Descomyces_sp._G1179_KSBR103	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_xenosma_G1092_KSCO1182	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ATrolazulinus_KF727328	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_viridocoeruleus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_gracilior	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_rapaceus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_dionysae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_coerulescentium	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_terpsichores	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_luhmannii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._nanceiensis_G0626_DB42	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aurilicis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_percomis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_saginus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_saturniorum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_neotropicus_KJ919994	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_violaceus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Cort._harcynicus_G0630_DB42	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_palATinus_KJ919991	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ATrotomentosus_KJ919993	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_altissimus_KJ919995	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_CArneipallidus_KJ919984	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_subCAlyptrosporus_KF727337	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_kioloensis_KJ919981	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_dysodes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_phaeomyxa_cf._Cuphocybe_p._G	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_prasinocyaneus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_caesiocortinatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_bolaris	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_pectochelis_G1102_KSCO1662	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_melimyxa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_alienatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._papulosus_G0592_DB4429	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._delibutus_G0501_DB2483	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._pseudovulpinus_G0624_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._triumphans_G0585_NL267	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aegrotus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Tel._ferrugineipes_G0077_NL	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_olidus_KC842521	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_areolatoimbricatus_2110	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._vulpinus_G0393_DB4432	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._argutus_G0281_DB3761	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._fraudulosus_G0282_DB48	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_mussivus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cumATilis_KC842519	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_claricolor_KC842520	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_vernicifer_G1100_KSCO1654	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Descomyces_jumgporenis_G1740_PERTH_7614	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_Phl._balteatocumatilis_G064	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_variicolor_KC842517	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ignotus_G1122_KSCO2039	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_sinapicolor_G1715_PERTH_831	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_carbonellus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_rattinus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_exlugubris	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cupreonATus_KF727322	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Hymenogaster_brunnescens_G0409_Smith688	NA	Gasteroid	Gasteroid	Gasteroid
Hymenogaster_diabolus_G0466_Smith45541	NA	Gasteroid	Gasteroid	Gasteroid
Hymenogaster_subcoeruleus_G0475_Smith68	NA	Gasteroid	Gasteroid	Gasteroid
Hymenogaster_subolivaceus_G0456_Smith34	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_Phl._cumatilis_G0901_DB3293	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._foetens_cf._G0906_DB49	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._aurantiobasalis_G0843_D	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_velicopiae_cf._G1168_KSCO61	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._glaucopus_G0783_DB4307	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._magicus_G0845_DB4899	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_pansicolor_G1113_KSCO1791	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_naphthalinus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_indolicus_KF727334	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_napivelATus_KF727299	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_xanthoochraceus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_pseliotiCTon_JX000402	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._quercilicis_G0872_DB49	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._olearioides_G0911_DB49	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_napus_KC842498	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aureocalceolatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_odoratus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_dibaphus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_splendificus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._alcalinophilus_G0839_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._arcuatorum_G0841_DB488	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_elegantior	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_splendens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_atrovirens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._aureopulverulentus_G09	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._sulphurinus_G0913_DB48	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_luteolus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._odorifer_G0791_NL3477	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_elegantissimus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._xanthophyllus_G0622_DB	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_saporatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_rapaceoides	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_humolens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_langeorum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_prasinus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_suaveolens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_osmophorus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_xanthochlorus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_flavovirens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._albertii_G0903_DB4895	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_aurantiorufus_G0910_DB4334	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._osmophorus_G0847_DB490	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_lilacinomarginatus_nom._prov._G0270_DB4795	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._piceae_G0912_DB4785	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_sodagnitus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_verrucisporus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_fulvocitrinus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_splendidior	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_haasii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_cisticola	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_insignibulbus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_parasuaveolens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_lilacinovelatus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_molochinus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_barbarorum	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_ochraceopallescens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_chailluzii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_albertii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_vesterholtii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_calochrous	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_dalecarlicus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_corrosus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_natalis	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_sublilacinopes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Phl._pseudoglaucopus_G0736_D	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_renidens_KC842529	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_campbellae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_scaurus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_minoscaurus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_corrugatus_G0002_NL5117	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Protoglossum_luteum_2137	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_holojanthinus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_austroviolACeus_KJ919977	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Protoglossum_luteum	NA	Gasteroid	Gasteroid	Gasteroid
Cortinarius_callisteus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_Myx._emunctus_betulinus_G00	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_iodes	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_salor	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_calaisopus_G1112_KSCO1806	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_rotundisporus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_fulvoochrascens	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_allutus	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Cortinarius_vespertinus_KC842527	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_intrusa	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_karinae_JX968268	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_volvata_JX968322	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_vaginata_JX968321	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_lactea	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_zeylanica_JX968324	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_rickenii	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Conocybe_apala_JX968326	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
